Query,Millis,PreMillis,PostMillis,Tuples,Iterations,Lookups,NrIndexEntries,nrUniqueLookups,NrUctNodes,NrPlans,JoinCard,NrSamples,AvgReward,MaxReward,TotalWork
08c.sql,7293,15,7,16504129,39479337,0,343040710,15649343,151,101,2487611,78959,0.031515530117483544,0.4390000430538746,1.0
08d.sql,719,8,1,2873642,6653701,0,4663520,3140370,218,144,323005,13308,0.02432642783058915,0.40260274700009696,1.0
09a.sql,548,528,0,12581,26336,0,18420,13016,46,39,121,53,0.039322076868250413,0.3406301457056276,1.0
09b.sql,453,432,0,10215,21246,0,10555,10015,38,32,40,43,0.04601568057152286,0.343918980459746,1.0
09c.sql,274,216,1,107822,225581,0,149646,96708,132,101,8144,452,0.025443704132370678,0.4242222222222222,1.0
09d.sql,1450,327,7,2071549,4596787,0,14243887,1656661,169,127,483082,9194,0.052973000521298885,0.35962505426168695,1.0
10a.sql,641,613,0,34979,81862,0,6935492,33413,64,49,104,164,0.009444755572665834,0.2920953379615855,1.0
10b.sql,707,699,0,1611,3502,0,6759,1429,10,8,0,8,4.543134233476948E-4,0.003295613164682894,1.0
10c.sql,1274,986,1,1686379,3376150,0,19479,1686535,333,113,10,6753,6.729453260356823E-4,0.3834355828220859,1.0
11a.sql,351,330,0,13744,31063,0,15981172,11966,66,57,310,63,0.01819389853657287,0.1015611934553336,1.0
11b.sql,266,255,0,666,1321,0,579,918,5,3,14,3,3.643458476211048E-5,9.827337609142412E-5,1.0
11c.sql,1045,835,0,1033849,2107345,0,12027070,1017637,125,89,6946,4215,0.00418438220154334,0.3425895827339971,1.0
11d.sql,897,766,0,155375,374882,0,967505492,182506,124,75,14899,750,0.022624922697070803,0.167,1.0
12a.sql,132,105,0,28441,66112,0,108955500,29384,68,52,397,133,0.021718781947830237,0.38281912681912683,1.0
12b.sql,188,173,0,4835,10725,0,79201209,4582,25,22,10,22,0.07982997327387026,0.4999986203666835,1.0
12c.sql,475,287,0,540792,1147468,0,7813740,599517,176,105,4711,2295,0.003722365745882136,0.24420179295671957,1.0
13a.sql,366,2,2,818122,1533074,0,324482421,567855,134,99,111101,3067,0.037805464776456604,0.2778494927201913,1.0
13b.sql,280,262,0,12088,24234,0,153316309,9124,47,41,372,49,0.04761553307355773,0.3326882051754845,1.0
13c.sql,236,222,0,3272,6869,0,147659653,2439,17,14,53,14,0.1029852887040279,0.4266248269634222,1.0
13d.sql,2652,13,3,9041821,17169246,0,6578292958,6641583,228,182,670390,34339,0.019699731655361596,0.3342245989304813,1.0
14a.sql,568,511,0,53898,144751,0,699193531,51408,94,51,761,290,0.006003162047498063,0.3381505990738467,1.0
14b.sql,332,320,0,363,785,0,2970,333,4,2,1,2,4.422123921355533E-5,8.844247842711066E-5,1.0
14c.sql,491,416,0,90501,226254,0,723671137,86741,77,54,4115,453,0.010889339821671102,0.15848272879578798,1.0
15a.sql,713,685,0,26129,61163,0,800146,30004,87,75,328,123,0.016500666808884283,0.4703449398660786,1.0
15b.sql,620,601,0,4747,10623,0,222526,5792,25,22,37,22,0.03688950105249346,0.39628616312680665,1.0
15c.sql,958,931,0,20551,45957,0,432029848,20876,51,43,2271,92,0.04638155193424133,0.4590265864659364,1.0
15d.sql,666,626,0,57365,114094,0,47112817,52077,94,78,11347,229,0.06602519448414249,0.17063664084910307,1.0
16a.sql,101,33,0,174775,446147,0,348511474,173036,55,46,385,893,0.003814269623805123,0.3814935064935065,1.0
16b.sql,6766,13,12,13672988,28778735,0,1344027054,12273639,134,85,3710592,57558,0.06458890353697105,0.351,1.0
