query,duration
30b.sql,0.1120
30b.sql,0.1138
30c.sql,2.2688
30c.sql,2.2628
30c.sql,2.2610
30c.sql,2.2618
30c.sql,2.2622
31a.sql,0.3003
31a.sql,0.2780
31a.sql,0.2850
31a.sql,0.2849
31a.sql,0.2997
31b.sql,0.1420
31b.sql,0.2283
31b.sql,0.2283
31b.sql,0.2281
31b.sql,0.2285
31c.sql,0.4723
31c.sql,0.4344
31c.sql,0.3523
31c.sql,0.4055
31c.sql,0.4655
32a.sql,0.0165
32a.sql,0.0155
32a.sql,0.0153
32a.sql,0.0147
32a.sql,0.0147
32b.sql,0.1679
32b.sql,0.1618
32b.sql,0.1586
32b.sql,0.1583
32b.sql,0.1540
33a.sql,0.1456
33a.sql,0.1273
33a.sql,0.1143
33a.sql,0.1042
33a.sql,0.0955
33b.sql,0.0844
33b.sql,0.0784
33b.sql,0.0737
33b.sql,0.0696
33b.sql,0.0660
33c.sql,0.1016
33c.sql,0.0999
33c.sql,0.0995
33c.sql,0.0998
33c.sql,0.1002
