Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
08b.sql,true,2473,2470,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0.048570836072999675,0.31385681293302536,1.0,0,0,0,0
08a.sql,true,2107,2101,5,0,0,0,0,0,0,0,0,0,112,0,0,0,0,62,0.022529349535420944,0.313156832064124,1.0,0,0,0,0
07c.sql,true,1969,1164,803,20,0,0,0,0,0,0,0,0,10153,0,0,0,0,68185,0.007536855183078555,0.101,1.0,0,0,0,0
07b.sql,true,781,778,2,0,0,0,0,0,0,0,0,0,21,0,0,0,0,16,0.027762031445064082,0.328713755236964,1.0,0,0,0,0
07a.sql,true,997,991,4,0,0,0,0,0,0,0,0,0,44,0,0,0,0,32,0.019118410964081844,0.2875481436262755,1.0,0,0,0,0
06f.sql,true,1464,266,1184,521,13,0,0,0,0,0,0,0,6591,0,0,0,0,785477,0.119084888335182,0.16000000000000358,1.0,0,0,0,0
06e.sql,true,1799,1795,2,0,1,0,0,0,0,0,0,0,20,0,0,0,0,6,0.06018257876560783,0.2906064846546151,1.0,0,0,0,0
06d.sql,true,1846,1838,7,0,0,0,0,0,0,0,0,0,80,0,0,0,0,88,0.006212323586665038,0.2539972941759098,1.0,0,0,0,0
06c.sql,true,1604,1602,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0.08428875170233245,0.27342144120304285,1.0,0,0,0,0
06b.sql,true,1792,1789,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,12,0.03886455285154997,0.28342139291931556,1.0,0,0,0,0
06a.sql,true,1634,1632,2,0,0,0,0,0,0,0,0,0,21,0,0,0,0,6,0.057471229048790144,0.2906064583927241,1.0,0,0,0,0
05c.sql,true,1396,1392,2,0,0,0,0,0,0,0,0,0,21,0,0,0,0,669,0.10681174513313123,0.5398206135228821,1.0,0,0,0,0
05b.sql,true,716,713,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.01359646015854237,0.03679482980758222,1.0,0,0,0,0
05a.sql,true,859,857,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.003411309666016764,0.01328141252340337,1.0,0,0,0,0
04c.sql,true,535,518,16,1,0,0,0,0,0,0,0,0,182,0,0,0,0,4700,0.028107543623095536,0.13551124776024195,1.0,0,0,0,0
04b.sql,true,134,132,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,6,0.04094343808626518,0.2926619131914319,1.0,0,0,0,0
04a.sql,true,368,357,10,0,0,0,0,0,0,0,0,0,114,0,0,0,0,740,0.011093788679808569,0.18044627995274004,1.0,0,0,0,0
03c.sql,true,947,929,16,2,0,0,0,0,0,0,0,0,151,0,0,0,0,7250,0.05040664294329877,0.14495847727458122,1.0,0,0,0,0
03b.sql,true,250,249,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,5,0.0470533594400354,0.24861878453038672,1.0,0,0,0,0
03a.sql,true,690,680,9,0,0,0,0,0,0,0,0,0,95,0,0,0,0,206,0.0057645276344647075,0.13458140771973476,1.0,0,0,0,0
02d.sql,true,162,22,139,12,0,0,0,0,0,0,0,0,1639,0,0,0,0,68316,0.04355816788755463,0.37241113816189897,1.0,0,0,0,0
02c.sql,true,39,37,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2.3091200660917477E-4,6.662348886919117E-4,1.0,0,0,0,0
02b.sql,true,155,14,139,0,0,0,0,0,0,0,0,0,1277,0,0,0,0,5228,0.006600757830854251,0.4022237197297159,1.0,0,0,0,0
02a.sql,true,99,14,84,1,0,0,0,0,0,0,0,0,1075,0,0,0,0,7834,0.010404465414591287,0.3893249156747937,1.0,0,0,0,0
01d.sql,true,751,749,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0.07462241160879554,0.4473404149529321,1.0,0,0,0,0
01c.sql,true,594,592,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0.07423469921875915,0.5029822436232865,1.0,0,0,0,0
01b.sql,true,620,619,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,8.15197569578265E-6,1.63039513915653E-5,1.0,0,0,0,0
01a.sql,true,681,679,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,142,0.10642140766728632,0.56094347563945,1.0,0,0,0,0
