Query,Millis,PreMillis,PostMillis,Tuples,Iterations,Lookups,NrIndexEntries,nrUniqueLookups,NrUctNodes,NrPlans,JoinCard,NrSamples,AvgReward,MaxReward,TotalWork
06a.sql,2660,2410,0,249973,504385,0,1968004,241554,72,25,6,1009,0.0010147448896700565,0.27142238930790624,1.0
06b.sql,2764,2751,0,4643,11007,0,416088,4580,23,12,12,23,0.053394897411052474,0.48312490653863155,1.0
06c.sql,2137,2129,0,1044,2145,0,1889,1249,7,5,2,5,0.05469567629616817,0.27342291576577865,1.0
06d.sql,2903,2873,0,23732,62459,0,5317284,24101,38,15,88,125,0.0030900125148688572,0.2754220646364889,1.0
06e.sql,3052,3033,0,25951,54701,0,968713,25325,38,18,6,110,0.011002993584807944,0.29060648493470626,1.0
06f.sql,3900,932,24,1624889,3272032,0,463429462,826355,43,18,785477,6545,0.12017738462543023,0.16200000000000386,1.0
07a.sql,2142,2106,0,11275,24607,0,93783,12815,43,35,32,50,0.011573761452676752,0.31257977472177867,1.0
07b.sql,1648,1631,0,4604,10321,0,102764,5048,24,20,16,21,0.012916320038176107,0.15883571332256577,1.0
07c.sql,4648,2838,0,2020066,4254167,0,21625375,2080406,255,197,68185,8509,0.008462083025450103,0.3707876100432176,1.0
08a.sql,2603,2553,1,28613,59554,0,71530,29533,46,37,62,120,0.026159799721976688,0.41748797243094915,1.0
08b.sql,2851,2836,0,1646,3695,0,3918203,1662,10,8,6,8,0.041014154782900956,0.3133576029123495,1.0
08c.sql,25159,38,15,23394399,60158114,0,5034989469,20469097,179,120,2487611,120317,0.020718222316870503,0.3918896250428901,1.0
08d.sql,2199,14,3,2480198,5508124,0,87993303,2121314,144,107,323005,11017,0.029648415504496452,0.41160279221009216,1.0
09a.sql,3513,3491,0,12568,26877,0,16349,13170,41,36,121,54,0.038874442475088526,0.340647660060184,1.0
09b.sql,2109,2088,0,10735,22386,0,11333,10462,36,30,40,45,0.0418084888711088,0.34388343515737596,1.0
09c.sql,2001,1788,0,127916,273437,0,148237,118799,146,109,8144,547,0.020805534882931746,0.34071778125245034,1.0
09d.sql,5991,1808,6,3365198,7478299,0,10780401,3055200,396,299,483082,14957,0.03261088383978889,0.3616263663291819,1.0
